chunk_id,doc_id,source_type,title,chunk_index,text_preview
chunk_1,gost_19_201_78,gost,Конспект ГОСТ 19.201-78,0,"[ГОСТ 19.201-78, условный конспект]
Настоящий стандарт устанавливает содержание и порядок оформления
технического задания на разработку автоматизированных систем и
программных средств.
Техническое зад…"
chunk_2,muiv_methodology,muiv,Методические рекомендации МУИВ,0,"[Методические рекомендации МУИВ, условный текст]
В техническом задании на разработку информационной системы для нужд
университета необходимо учитывать особенности организационной структуры
ЧОУ ВО «Мос…"
chunk_3,muiv_methodology,muiv,Методические рекомендации МУИВ,1,"— требования к надежности, безопасности и защите персональных данных;
— требования к интерфейсу и удобству работы пользователей;
— требования к интеграции с действующими информационными системами вуза…"
chunk_4,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,0,"Электронный фонд
правовых и нормативно-
технических документов
Найти
Войти
Зарегистрироваться
Главная
Точный
1 фрагмент из
Найти
Статус документа
Статус документа
Текст
ГОСТ 34.602-2020
МЕЖГОСУДАРСТВЕ…"
chunk_5,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,1,"""Межгосударственная система стандартизации. Стандарты межгосударственные, правила и рекомендации по межгосударственной стандартизации. Правила разработки, принятия, обновления и отмены""
Сведения о ста…"
chunk_6,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,2,"Азербайджан
AZ
Азстандарт
Армения
АМ
ЗАО ""Национальный орган по стандартизации и метрологии"" Республики Армения
Беларусь
BY
Госстандарт Республики Беларусь
Киргизия
KG
Кыргызстандарт
Россия
RU
Росстан…"
chunk_7,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,3,"Информация о введении в действие (прекращении действия) настоящего стандарта и изменений к нему на территории указанных выше государств публикуется в указателях национальных стандартов, издаваемых в э…"
chunk_8,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,4,"Настоящий стандарт распространяется на автоматизированные системы (АС), предназначенные для автоматизации различных видов деятельности (управление, проектирование, исследования и т.п.), включая их соч…"
chunk_9,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,5,"Примечание - При пользовании настоящим стандартом целесообразно проверить действие ссылочных стандартов и классификаторов на официальном интернет-сайте Межгосударственного совета по стандартизации, ме…"
chunk_10,web_example_2,web_example,ГОСТ 34.602-2020 Информационные технологии (ИТ). Комплекс ...,6,"3 Общие положения
3.1 ТЗ на АС является основным документом, определяющим требования и порядок создания автоматизированной системы, в соответствии с которым проводится разработка АС и ее приемка.
ТЗ н…"
